"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"Bioscientifica (ID 416)","Bioscientifica10.1530","open","61987","8295","true","true"
"Blacksmith Institute (ID 3722)","Blacksmith Institute10.5696","open","91","90","true","true"
"BMJ (ID 239)","BMJ10.1136","open","825710","53499","true","true"
"BMJ (ID 239)","Faculty of Family Planning10.1783","open","825710","53499","true","true"
"Bor Dergisi (ID 12171)","Bor Dergisi10.30728","open","0","26","false","true"
"Borys Grinchenko Kyiv University (ID 11468)","Borys Grinchenko Kyiv University10.28925","open","431","543","true","true"
"Botanic Garden & Botanical Museum Berlin-Dahlem BGBM (ID 1942)","Botanic Garden & Botanical Museum Berlin-Dahlem BGBM10.3372","open","988","100","true","true"
"Brighthall (ID 4650)","Brighthall10.7899","open","235","49","true","true"
"Brill (ID 50)","Brill10.2959","open","184464","13335","true","true"
"Brill (ID 50)","Brill10.1163","open","184464","13335","true","true"
"British Institute of Radiology (ID 45)","British Institute of Radiology10.1259","open","34856","1307","true","true"
"Bryansk State Technical University BSTU (ID 15045)","Bryansk State Technical University BSTU10.30987","open","520","643","true","true"
"Bullaki Ltd. (ID 17399)","Bullaki Ltd.10.32386","open","0","1","false","true"
"CABI Publishing (ID 242)","CABI Publishing10.1079","open","2086","411","true","false"
"CABI Publishing (ID 242)","CABI Publishing - Evidence on Demand10.12774","limited","2086","411","true","false"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press10.1017","open","1440042","73551","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (Anthem Press)10.7135","open","1440042","73551","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (Australian Academic Press)10.1375","open","1440042","73551","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (CUP)10.5949","open","1440042","73551","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (Entomological Society of Canada)10.4039","open","1440042","73551","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (Materials Research Society)10.1557","open","1440042","73551","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (Mathematical Association of America)10.5948","open","1440042","73551","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (Nottingham University Press)10.7313","open","1440042","73551","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (Society for the Promotion of Roman Studies)10.3815","open","1440042","73551","true","true"
"Cambridge University Press (CUP) (ID 56)","International Glaciological Society10.3189","limited","1440042","73551","true","true"
"Canadian Science Publishing (ID 155)","Canadian Science Publishing10.1139","open","183051","6165","true","true"
"Canakkale Onsekiz Mart Universitesi Uluslararasi Sosyal Bilimler Dergisi (ID 16502)","Canakkale Onsekiz Mart Universitesi Uluslararasi Sosyal Bilimler Dergisi10.31454","open","12","38","true","true"
"Cappelen Damm AS - Cappelen Damm Akademisk (ID 9951)","Cappelen Damm AS - Cappelen Damm Akademisk10.23865","open","172","354","true","true"
"Cardiology Research Institute (ID 11538)","Cardiology Research Institute10.29001","open","0","84","false","true"
"Cellule MathDoc/CEDRAM (ID 3842)","Cellule MathDoc/CEDRAM10.5802","open","7636","458","true","true"
"Center for Crisis Society Studies (ID 10012)","Center for Crisis Society Studies10.23932","open","6","95","false","true"
"Center for Pulp and Paper (ID 10910)","Center for Pulp and Paper10.25269","open","70","20","true","true"
"Centr Regionalnikh Issledovanij (ID 10600)","Centr Regionalnikh Issledovanij10.24975","open","0","74","false","true"
"Centre for Evaluation in Education and Science (CEON/CEES) (ID 3964)","Centre for Evaluation in Education and Science10.5937","open","12981","5117","true","true"
"Centro Andaluz de Medicina del Deporte (ID 18532)","Centro Andaluz de Medicina del Deporte10.33155","open","248","99","true","true"
"Cesm-i Cihan Tarih Kultur ve Sanat Arastirmalari E-Dergisi (ID 12260)","Cesm-i Cihan Tarih Kultur ve Sanat Arastirmalari E-Dergisi10.30804","open","1","34","true","true"
"Chelonian Conservation and Biology Journal (ID 1453)","BioOne (Chelonian Conservation and Biology Journal)10.2744","open","501","53","true","true"
"Chhattisgarh Swami Vivekanand Technical University (ID 12186)","Chhattisgarh Swami Vivekanand Technical University10.30732","open","9","14","false","true"
"Cihannuma Tarih ve Cografya Arastirmalari Dergisi (ID 11969)","Cihannuma Tarih ve Cografya Arastirmalari Dergisi10.30517","open","44","39","true","true"
"City Space Architecture (ID 18222)","City Space Architecture10.32891","open","18","93","false","true"
"Clinical Exercise Physiology Association (ID 16145)","Clinical Exercise Physiology Association10.31189","open","39","27","true","true"
"Co-Action Publishing (ID 1989)","Co-Action Publishing10.3402","open","1021","13","true","false"
"Co-Action Publishing (ID 1989)","Co-Action Publishing Cappelen Damms10.17585","open","1021","13","true","false"
"Co-Action Publishing (ID 1989)","CoAction Publishing Libyan Journal of Medicine Society10.4176","open","1021","13","true","false"
"Co. Ltd. Ukrinformnauka (ID 6225)","Co. Ltd. Ukrinformnauka10.15407","open","11253","5549","true","true"
"Co. Ltd. Ukrinformnauka (ID 6225)","Co. Ltd. Ukrinformnauka10.22240","open","11253","5549","true","true"
"Cold Spring Harbor Laboratory (ID 246)","Cold Spring Harbor Laboratory10.1261","open","40091","35738","true","true"
"Cold Spring Harbor Laboratory (ID 246)","Cold Spring Harbor Laboratory10.1101","open","40091","35738","true","true"
"Cold Spring Harbor Laboratory (ID 246)","Cold Spring Harbor Laboratory - CSHL Library & Archives10.14224","limited","40091","35738","true","true"
"College Publishing (ID 2370)","College Publishing10.3992","open","550","84","true","true"
"Commagene Journal of Biology (ID 16719)","Commagene Journal of Biology10.31594","open","0","32","false","true"
"Communications for Statistical Applications and Methods (ID 11772)","Communications for Statistical Applications and Methods10.29220","open","0","59","false","true"
"Compuscript, Ltd. (ID 5858)","Compuscript, Ltd.10.15212","open","269","175","true","false"
"Computers, Materials and Continua (Tech Science Press) (ID 17807)","Computers, Materials and Continua (Tech Science Press)10.32604","open","139","236","true","false"
"COMU Ziraat Fakultesi Dergisi (ID 18728)","COMU Ziraat Fakultesi Dergisi10.33202","open","0","1","false","true"
"Consortium Erudit (ID 4194)","Consortium Erudit10.7202","open","97316","4155","true","true"
"Constructive Mathematical Analysis (ID 18727)","Constructive Mathematical Analysis10.33205","open","0","14","false","true"
"Contemporary Educational Technology (ID 12395)","Contemporary Educational Technology10.30935","open","0","24","false","true"
"Copernicus GmbH (ID 3145)","Copernicus GmbH10.7482","open","70717","18378","true","true"
"Copernicus GmbH (ID 3145)","Copernicus GmbH10.3285","open","70717","18378","true","true"
"Copernicus GmbH (ID 3145)","Copernicus GmbH10.5194","open","70717","18378","true","true"
"Corporacion Universitaria Remington (ID 9478)","Corporacion Universitaria Remington10.22209","open","30","294","true","true"
"Council for British Archaeology (ID 4827)","Council for British Archaeology10.11141","open","538","108","true","true"
"CRI Electronics (ID 9238)","CRI Electronics10.21778","open","86","122","false","true"
"Croatian Society for Medical Biochemistry and Laboratory Medicine (ID 4885)","Croatian Society for Medical Biochemistry and Laboratory Medicine10.11613","open","414","143","false","true"
"Cuadernos de Economia (ID 17910)","Cuadernos de Economia10.32826","open","165","57","true","true"
"Cukurova Universitesi Ilahiyat Fakultesi Dergisi (ID 12076)","Cukurova Universitesi Ilahiyat Fakultesi Dergisi10.30627","open","0","47","false","true"
"Cukurova Universitesi Turkoloji Arastırmaları Dergisi (ID 17353)","Cukurova Universitesi Turkoloji Arastırmaları Dergisi10.32321","open","0","35","false","true"
"Cumhuriyet International Journal of Education (ID 12158)","Cumhuriyet International Journal of Education10.30703","open","73","56","true","true"
"Current Research in Social Sciences (ID 12048)","Current Research in Social Sciences10.30613","open","0","11","false","true"
"Danylo Halytskyi Lviv National Medical University (ID 10659)","Danylo Halytskyi Lviv National Medical University10.25040","open","319","284","true","true"
"Department of Forest Management (ID 4253)","Department of Forest Managment10.7226","open","137","27","true","false"
"Dil Egitimi ve Arastirmalari Dergisi (ID 16520)","Dil Egitimi ve Arastirmalari Dergisi10.31464","open","0","12","false","true"
"Dil ve Edebiyat Arastirmalari Dergisi (ID 12218)","Dil ve Edebiyat Arastirmalari Dergisi10.30767","open","0","53","false","true"
"Disiplinlerarasi Akademik Turizm Dergisi (ID 17058)","Disiplinlerarasi Akademik Turizm Dergisi10.31822","open","5","19","true","true"
"Dnipro University of Technology (ID 18833)","Dnipro University of Technology10.33271","open","0","1","false","true"
"Dnipropetrovsk National University of Railway Transport (ID 6422)","Dnipropetrovsk National University of Railway Transport10.15802","open","738","330","true","true"
"Dostoevsky Omsk State University (ID 10235)","Dostoevsky Omsk State University10.24147","open","0","111","false","true"
"Dougmar Publishing Group, Inc. (ID 9644)","Dougmar Publishing Group, Inc.10.22374","open","1210","220","true","false"
"Dr Tarak Nath Podder Memorial Foundation (ID 16759)","Dr Tarak Nath Podder Memorial Foundation10.31632","open","0","20","false","true"
"Drustvo psihologov Slovenije/Slovenian Psychologists' Association (ID 8435)","Drustvo psihologov Slovenije/Slovenian Psychologists' Association10.20419","open","63","17","true","true"
"E-JournALL (ID 8794)","E-JournALL10.21283","open","47","35","false","true"
"e-Kafkas Egitim Arastirmalari Dergisi (ID 12358)","e-Kafkas Egitim Arastirmalari Dergisi10.30900","open","0","25","false","true"
"E-Tree Publishing (ID 16926)","Korea Centers for Disease Control and Prevention10.24171","open","370","120","true","true"
"Earthquake Science (ID 11926)","Earthquake Science10.29382","open","440","32","true","true"
"ECO-Vector LLC (ID 7284)","ECO-Vector10.17816","open","3383","1663","true","true"
"Edebi Elestiri Dergisi (ID 16528)","Edebi Elestiri Dergisi10.31465","open","0","18","false","true"
